happiness,真的要断了过去让明天好好继续
sadness,越过山丘才发现无人等候
disgust,品冠：比较烦
anger,被爱是奢侈的幸福可惜你从来不在乎
sadness,卢：就算失落过都不想变改往事
fear,紧紧跟随
sadness,每一个夜晚每一次分手
sadness,不管春风怎样吹
fear,李：从前的我没法懂人生路怎麽会困难重重
like,再回首云遮断归途再回首荆棘密佈
sadness,可能是因为烟和咖啡
happiness,怕如果写了因为想要你而有的苦苦坚持
sadness,幸福是否只是一种传说我永远都找不到
surprise,女优与假知青的恋情终于曝光
sadness,我还是真的期待 有人追
sadness,漫漫长夜过去
fear,我们对自己都没有把握
fear,品冠：陌生的城市何处有我的期盼挥别了家乡的伙伴
fear,可能是知道自己将要离开一段长时间的关係，
happiness,李我枕边还有你的气息
fear,一天又过一天三十岁就快来
anger,错了还错 你说 啊你在想什麽有什麽话好说你说为什麽不说
fear,也许有一天我栖上了枝头却成为猎人的目标
happiness,爱如潮水将我向你推
like,而写歌容易写你太难
fear,我不知怎麽办
like,十七岁女生的温柔其实是很那个的
sadness,也许我偶尔还是会想他偶尔难免会惦记着他
sadness,人有时候需要一点点刺激最常见的就是你的女友离你而去
like,会爱上你
fear,曾经真的以为人生就这样了平静的心拒绝再有浪潮
sadness,我已经遗忘我已经遗忘生活是肥皂香水眼影唇膏
like,来自无垠、去向无踪
anger,你到底要什麽你从不对我说
happiness,我像巫师得 专心练法术
like,我不会逃避 我会很认真
sadness,你不必为我承诺什麽我会爱你你会爱我只是因为寂寞
anger,你对自己说你要独立生活
happiness,合唱：我不烦不烦我不烦我不烦我不烦我只有一点烦你和我一样
happiness,李：往事像一场梦将我的心轻轻触动
sadness,蓄意陷溺在孤独
sadness,宗盛：我的头髮只剩下从前的一半
disgust,给自己随便找个理由
fear,在爱情中痛苦在名利中追逐怎样才能面对存在内心的冲突
sadness,如今情已扑朔迷离
happiness,喔这一季总算有些值得回忆
sadness,某一个城市的、某一个午后的落没心情。
fear,只是你不知将它往哪裡栽
sadness,时光不再啊时光不再
happiness,妳问我为什麽不再给妳安慰
like,男：从前的风风雨雨让它过去
happiness,我会是你的这一切都可以放弃
sadness,我怀疑是不是只有我的明天没有变得更好
happiness,如果妳愿意请让我靠近我想妳会明白我的心哦
disgust,宗盛：我比较烦
happiness,为你我用了半年的积蓄飘洋过海的来看你
fear,影剧版依然沸沸扬扬像极了枪声大作的靶场
happiness,还记得年少时的梦吗像朵永远不凋零的花
fear,爱情少尉他不流泪
happiness,如此这般的活着
sadness,你现在是怎样的心情呢是欢喜悲伤还是一点点不知名的愁
happiness,风就是从小镇的那一端吹进来的喔～～喔～～
happiness,且让我给你安慰
fear,却有预感晚婚
happiness,一颗爱你的心
happiness,有着什麽样的关係为什麽在一起
happiness,毫无意外我真的越来越忙还好孩子总是给我希望
happiness,不要说妳永远不会
sadness,为何不靠近我你可知我心裡想什麽谁能够不犯错成长的路
like,合：我始终祗爱你
disgust,我必须扛着瓦斯穿过臭水四溢的夜市
happiness,风就是从小镇的那一头吹进来的喔～～喔～～
happiness,才知道平平淡淡从从容容才是真
like,李答应我苦苦求
sadness,李：请看那时间如风告诉我们人生太匆匆
sadness,终日悲伤却不知所措
happiness,那些为爱所付出的代价是永远都难忘的啊
anger,．．
happiness,卢：天天躺进新感觉裡让我一生悲喜裡漫游经过
like,对着太阳掷去、缀成一道不经心的彩虹
fear,有时候我不知道这样决定应不应该时间飞快该来的会来
sadness,喋喋不休时不我予的哀愁
fear,我录下了接下来这段的雷雨声……
fear,谁都没有把握
like,如果欢笑可以骄傲我们要它响亮
fear,爱情是最辛苦的等待
sadness,啊我终于失去了妳在拥挤的人群中
like,聪明如你是非何必明说
happiness,一个男人和一颗热切的心
anger,日子像是道灰牆骂它也没有回响呀呀呀呀呀呀呀
anger,我不知我不知
like,他会陪你过今夜他也许就在这列车的某一节
sadness,为何记不得上一次是谁给的拥抱
fear,我写歌有时快有时慢有时简单有时难
sadness,回想过去曾经黯淡几许光采 有时候我不知道这样决定应不应该
anger,不要以为你有多好的防备
happiness,我想你说得对
sadness,说不定我一生涓滴意念
fear,因为受不住冷落
sadness,我会爱你，只是因为，因为寂寞
surprise,就要被你通通化解
sadness,寂寞使人憔悴
sadness,哦…哦…哦…哦…哦…哦…哦…哦…哦…没有什麽关係
fear,因为不安而频频回首
happiness,当我嚐尽人情冷暖当你决定为了你的理想燃烧
happiness,李：不在乎是否活在掌声中愿从此心裡轻鬆
fear,明知寂寞叫人难以忍耐也许一切就此从头再来
disgust,她自从结婚以后每天都在问我
like,这样的日子在我第一次上综艺一百
fear,男爱情它是个难题让人目眩神迷
anger,是你将我从梦中叫醒
sadness,重新来过重新来过重新来过
like,我将紧紧的跟随
sadness,啊多麽痛的领悟 你曾是我的全部
happiness,我终于让千百双手在我面前挥舞我终于拥有了千百个热情的笑容
like,多少心儿盼望
sadness,而猜想毕竟只是猜想我不是女生没有什麽关係
disgust,日子过得比较素
sadness,女：不愿再继续无助哭泣受伤的心需要安静
anger,多少男子汉一怒为红颜多少同林鸟已成了分飞燕
anger,是怎样莫可奈何的忍耐
sadness,能填满你的寂寞
sadness,走吧走吧人总要学着自己长大
fear,让人失望的虽然是恋情本身但是不要只是因为你是女人
anger,关于我们的事啊他们统统都猜错
happiness,并且陪我度过生命中最长的寒冬如此的宽容
surprise,就把自己先搞丢
sadness,要我怎麽做你才会知道
disgust,虽然曾经有过很多感情的债
anger,总是容易被往事打动总是为了你心痛
like,前方没有终点奋斗永不停息
