like,想要有直升机
like,想要和你飞到宇宙去
happiness,想要和你融化在一起融化在银河里
happiness,我每天每天每天在想想想想着你
happiness,这样的甜蜜让我开始相信命运
like,感谢地心引力让我碰到你
happiness,漂亮的让我面红的可爱女人
happiness,温柔的让我心疼的可爱女人
happiness,透明的让我感动的可爱女人
happiness,坏坏的让我疯狂的可爱女人
sadness,世界这样大而我而我只是只小小小的蚂蚁
happiness,但我要尽全力全力全力保护你
fear,如果说怀疑可以造句
sadness,如果说分离能够翻译
fear,如果这一切真的可以
sadness,我想要将我的寂寞封闭
like,然后在这里不限日期
like,然后将过去慢慢温习让我爱上你
disgust,那场悲剧是你完美演出的一场戏
disgust,宁愿心碎哭泣再狠狠忘记你爱过我的证据
anger,让晶莹的泪滴闪烁成回忆伤人的美丽
fear,你的完美主义太彻底让我连恨都难以下笔
anger,将真心抽离写成日记像是一场默剧
disgust,你的完美主义太彻底
disgust,分手的话像语言暴力
sadness,我已无能为力再提起
disgust,决定中断熟悉
like,乘着风游荡在蓝天边
like,一片云掉落在我面前捏成你的形状
like,随风跟着我一口一口吃掉忧愁
like,载着你彷彿载着阳光不管到哪里都是晴天
like,蝴蝶自在飞花也佈满天一朵一朵因你而香
like,试图让夕阳飞翔带领你我环绕大自然
like,迎着风开始共渡每一天
happiness,手牵手一步两步三步四步望着天
like,看星星一颗两颗三颗四颗连成线
happiness,背对背默默许下心愿
like,看远方的星是否听的见
happiness,看远方的星如果听的见它一定实现
like,娘子却依旧每日折一枝杨柳你在那里
like,在小村外的溪边河口默默等着我
like,娘子依旧每日折一枝杨柳称在那里
like,在小村外的溪边默默等着娘子
like,一壶好酒再来一碗热粥配上几斤的牛肉
like,我说店小二三两银够不够
like,景色入秋漫天黄沙掠过塞北的客栈人多　
sadness,牧草有没有我马儿有些瘦
disgust,世事看透江湖上潮起潮落什么恩怨过错
sadness,在多年以后还是让人难过
sadness,心伤透娘子她人在江南等我泪不休语沉默
like,娘子却依旧每日折一枝杨柳
like,在小村外的溪边河口默默的在等着我
sadness,家乡的爹娘早亡苍老了轮廓
sadness,娘子我欠你太多
sadness,天涯尽头满脸风霜落寞近乡情怯的我
sadness,相思寄红豆相思寄红豆
fear,无能为力的在人海中漂泊
sadness,心伤透娘子她人在江南等我泪不休语沉默
anger,有什么不妥有话就直说
